hskId,simplified,traditional,pinyin,definitions,book,hsk,lesson,dialog,nw,example,exampleTranslation,oofc,pn,weight,index
42,会,會,huì,can/to be possible/to be able to/will/to be likely to/to be sure to/to assemble/to meet/to gather/to see/union/group/association/CL:個|个[gè]/a moment (Taiwan pr. for this sense is [huǐ]),1,1,6,1,1,他会开车，但他不会打字。,"He can drive, but he can not type.",,,17944,0
43,说,說,shuō,"to speak/to say/to explain/to scold/to tell off/a theory (typically the last character in a compound, as in 日心說|日心说 heliocentric theory)",1,1,6,1,2,好酒能使人说真话。,Good ale will make a cat speak.,,,22078,0
43,说,説,shuō,variant of 說|说[shuō],1,1,6,1,2,好酒能使人说真话。,Good ale will make a cat speak.,,,60,0
44,妈妈,媽媽,mā ma,"mama/mommy/mother/CL:個|个[gè],位[wèi]",1,1,6,1,3,妈妈因为她调皮打她屁股。,Mother spanked her for being naughty.,,,969,0
45,菜,菜,cài,"dish (type of food)/vegetable/cuisine/CL:盤|盘[pán],道[dào]/(coll.) (one's) type/(of one's skills etc) weak/poor",1,1,6,2,4,这个菜下饭。,This dish goes well with rice.,,,370,0
46,很,很,hěn,(adverb of degree)/quite/very/awfully,1,1,6,2,5,学一门外语必然很困难。,The study of a foreign language is necessarily difficult.,,,16087,0
48,做,做,zuò,to do/to make/to produce/to write/to compose/to act as/to engage in/to hold (a party)/to be/to become/to function (in some capacity)/to serve as/to be used for/to form (a bond or relationship)/to pretend/to feign/to act a part/to put on appearance,1,1,6,2,7,做物理实验。,make experiment in physics,,,12709,0
49,写,寫,xiě,to write,1,1,6,3,8,我想写小说。,I want to write a novel.,,,2072,0
50,汉字,漢字,hàn zì,Chinese character/CL:個|个[gè]/Japanese: kanji/Korean: hanja/Vietnamese: hán tự,1,1,6,3,9,他们首创一种新的汉字输入法。,They originated a new way of processing and inputting Chinese data into computers.,,,436,0
51,字,字,zì,letter/symbol/character/word/CL:個|个[gè]/courtesy or style name traditionally given to males aged 20 in dynastic China,1,1,6,3,10,“王”字的笔画有四个。,The character王has four strokes.,,,1556,0
52,怎么,怎麼,zěn me,how?/what?/why?,1,1,6,3,11,英语的疑问句是怎么构成的？,How are questions made in English ?,,,7245,0
52,怎么,怎麽,zěn me,variant of 怎麼|怎么[zěn me],1,1,6,3,11,英语的疑问句是怎么构成的？,How are questions made in English ?,,,7241,0
53,读,讀,dú,"to read/to study/reading of word (i.e. pronunciation), similar to 拼音[pīn yīn]",1,1,6,3,12,她一天读几小时英文？,How many hours a day does she study English?,,,2058,0
54,请,請,qǐng,to ask/to invite/please (do sth)/to treat (to a meal etc)/to request,1,1,7,1,1,请你签字。,Please affix your signature.,,,12232,0
56,今天,今天,jīn tiān,today/at the present/now,1,1,7,1,3,他今天闹情绪了。,He is in a bad mood today.,,,2082,0
57,号,號,hào,ordinal number/day of a month/mark/sign/business establishment/size/ship suffix/horn (wind instrument)/bugle call/assumed name/to take a pulse/classifier used to indicate number of people,1,1,7,1,4,明天几号？,What date will tomorrow be ?,,,4810,0
58,月,月,yuè,"moon/month/monthly/CL:個|个[gè],輪|轮[lún]",1,1,7,1,5,保险有效期还有一个月。,The insurance runs for another month.,,,9556,0
59,星期,星期,xīng qī,week/CL:個|个[gè]/day of the week/Sunday,1,1,7,1,6,我这星期的时间安排很紧。,"I've got a very busy timetable this week, ie a lot of appointments, etc.",,,163,0
60,昨天,昨天,zuó tiān,yesterday,1,1,7,2,7,我看过昨天的报价表。,I saw yesterday's quote.,,,654,0
61,明天,明天,míng tiān,tomorrow,1,1,7,2,8,明天放假。,Tomorrow will be a holiday.,,,448,0
62,去,去,qù,to go/to go to (a place)/(of a time etc) last/just passed/to send/to remove/to get rid of/to reduce/to be apart from in space or time/to die (euphemism)/to play (a part)/(when used either before or after a verb) to go in order to do sth/(after a verb of motion indicates movement away from the speaker)/(used after certain verbs to indicate detachment or separation),1,1,7,3,9,出于无奈她才去。,She couldn't help but go.,,,10719,0
63,学校,學校,xué xiào,school/CL:所[suǒ],1,1,7,3,10,她亲自创办了一所培训学校。,She started a training school herself.,,,1577,0
64,看,看,kàn,to see/to look at/to read/to watch/to visit/to call on/to consider/to regard as/to look after/to treat (an illness)/to depend on/to feel (that)/(after verb) to give it a try/Watch out! (for a danger),1,1,7,3,11,你看那个超人气球,Look at that Superman balloon!,,,10234,0
65,书,書,shū,"book/letter/document/CL:本[běn],冊|册[cè],部[bù]/to write",1,1,7,3,12,请帮助我把屋子里的书拿来。,Bring me the book from the room.,,,2911,1
65,书,書,shū,abbr. for 書經|书经[shū jīng],1,1,7,3,12,请帮助我把屋子里的书拿来。,Bring me the book from the room.,,,2910,0
66,想,想,xiǎng,to think/to believe/to suppose/to wish/to want/to miss (feel wistful about the absence of sb or sth),1,1,8,1,1,你想学什么？,What do you want to study?,,,8543,0
67,喝,喝,hē,to drink/My goodness!,1,1,8,1,2,下班后来我家喝一杯。,Come by for a drink after work.,,,1184,0
68,茶,茶,chá,"tea/tea plant/CL:杯[bēi],壺|壶[hú]",1,1,8,1,3,我比较喜欢淡一点的茶。,I like it my tea rather weak.,,,594,0
69,吃,吃,chī,to eat/to consume/to eat at (a cafeteria etc)/to eradicate/to destroy/to absorb/to suffer/to stammer (Taiwan pr. for this sense is [jí]),1,1,8,1,4,别客气，开始吃吧！,Don't be too polite. Start eating!,,,4799,0
69,吃,喫,chī,variant of 吃[chī],1,1,8,1,4,别客气，开始吃吧！,Don't be too polite. Start eating!,,,4787,0
70,米饭,米飯,mǐ fàn,(cooked) rice,1,1,8,1,5,我喜欢米饭。,I like rice.,,,38,0
71,下午,下午,xià wǔ,afternoon/CL:個|个[gè]/p.m.,1,1,8,2,6,下午突然下起了大雪。,"During the afternoon, there was a sudden heavy fall of snow.",,,201,0
72,商店,商店,shāng diàn,"store/shop/CL:家[jiā],個|个[gè]",1,1,8,2,7,商店晚上12点关门。,The shop stays open till midnight.,,,314,0
73,买,買,mǎi,to buy/to purchase,1,1,8,2,8,我一定给你买本英语读本。,I'll buy you an English reader by all means.,,,2510,0
74,个,個,gè,individual/this/that/size/classifier for people or objects in general,1,1,8,2,9,你一个月至少应该看一本书。,You should read one book a month at least.,,,30131,0
74,个,箇,gè,variant of 個|个[gè],1,1,8,2,9,你一个月至少应该看一本书。,You should read one book a month at least.,,,30082,0
75,杯子,杯子,bēi zi,"cup/glass/CL:個|个[gè],隻|只[zhī]",1,1,8,2,10,有裂缝的杯子。,a cup with a crack in it,,,37,0
76,这,這,zhè,"this/these/(commonly pr. [zhèi] before a classifier, esp. in Beijing)",1,1,8,3,11,这可怎么办？,What can we do about it?,,,13812,0
77,多少,多少,duō shǎo,number/amount/somewhat,1,1,8,3,12,一箱装多少件？,How many pieces one container?,,,2641,0
78,钱,錢,qián,"coin/money/CL:筆|笔[bǐ]/unit of weight, one tenth of a tael 兩|两[liǎng]",1,1,8,3,13,我会把钱汇给你。,I'll remit you the money.= I'll remit the money to you.,,,2710,1
78,钱,錢,qián,surname Qian,1,1,8,3,13,我会把钱汇给你。,I'll remit you the money.= I'll remit the money to you.,,,2708,0
79,块,塊,kuài,"lump (of earth)/chunk/piece/classifier for pieces of cloth, cake, soap etc/(coll.) classifier for money and currency units",1,1,8,3,14,他再有几块钱就可以还清债务了。,Just a few dollars more would clear him.,,,1161,0
80,那,那,nà,"that/those/then (in that case)/commonly pr. [nèi] before a classifier, esp. in Beijing",1,1,8,3,15,那是一本令人满意的书。,That is a satisfying book.,,,5278,0
81,小,小,xiǎo,small/tiny/few/young,1,1,9,1,1,小阅览室,individual study carrel,,,10788,0
82,猫,貓,māo,cat/CL:隻|只[zhī]/(dialect) to hide oneself/(coll.) modem,1,1,9,1,2,他被那只猫绊倒了。,He tumbled over the cat.,,,839,0
83,在,在,zài,(located) at/(to be) in/to exist/in the middle of doing sth/(indicating an action in progress),1,1,9,1,3,电话在一楼的小书房内。,The telephone is in the little study on the ground floor.,,,43994,0
84,那儿,那兒,nà r,there,1,1,9,1,4,那儿教育很发达。,Education thrives there.,,,22,0
85,狗,狗,gǒu,"dog/CL:隻|只[zhī],條|条[tiáo]",1,1,9,1,5,在夜间听到狗叫声。,The bark of a dog sounded in the night.,,,499,0
86,椅子,椅子,yǐ zi,"chair/CL:把[bǎ],套[tào]",1,1,9,1,6,侧身坐在椅子上,sit crosswise in a chair,,,18,0
87,下面,下面,xià miàn,below/under/next/the following/also pr. [xià mian],1,1,9,1,7,音箱放在桌子下面。,The speaker stood under the table.,,,0,0
87,下面,下麵,xià miàn,to boil noodles,1,1,9,1,7,音箱放在桌子下面。,The speaker stood under the table.,,,9,0
89,哪儿,哪兒,nǎ r,where?/wherever/anywhere,1,1,9,2,9,免税店在哪儿？,Where's a tax-free shop?,,,173,0
90,工作,工作,gōng zuò,"to work/(of a machine) to operate/job/work/task/CL:個|个[gè],份[fèn],項|项[xiàng]",1,1,9,2,10,我在日间工作，夜间读书。,I work by day and study by night.,,,4219,0
91,儿子,兒子,ér zi,son,1,1,9,2,11,她溺爱最小的儿子。,She dotes on her youngest son.,,,3248,0
92,医院,醫院,yī yuàn,"hospital/CL:所[suǒ],家[jiā],座[zuò]",1,1,9,2,12,救护车急速向医院驶去。,The ambulance sped to the hospital.,,,1933,0
93,医生,醫生,yī shēng,"doctor/CL:個|个[gè],位[wèi],名[míng]",1,1,9,2,13,我的医生劝我立即戒烟。,My doctor advised me to give up smoking without delay.,,,760,0
94,爸爸,爸爸,bà ba,"(informal) father/CL:個|个[gè],位[wèi]",1,1,9,3,14,嗨 ，爸爸。一切都好。,"Hi, Dad. Everything's fine.",,,732,0
95,桌子,桌子,zhuō zi,"table/desk/CL:張|张[zhāng],套[tào]",1,1,10,1,1,这张桌子让熨斗烙焦了。,The desk was badly charred by an iron.,,,38,0
96,上,上,shàng,on top/upon/above/upper/previous/first (of multiple parts)/to climb/to get onto/to go up/to attend (class or university),1,1,10,1,2,布告栏上贴了一些海报。,Posters were pasted up on the bulletin board.,,,14200,0
97,电脑,電腦,diàn nǎo,computer/CL:臺|台[tái],1,1,10,1,3,精巧的电脑,a sophisticated computer,,,2488,0
98,和,和,hé,"and/together with/with/sum/union/peace/harmony/Taiwan pr. [hàn] when it means ""and"" or ""with""",1,1,10,1,4,除英语外，他还要学德语和法语。,"Besides English, he has to study German and French.",,,26827,1
98,和,和,hé,"surname He/Japanese (food, clothes etc)",1,1,10,1,4,除英语外，他还要学德语和法语。,"Besides English, he has to study German and French.",,,26816,0
98,和,咊,hé,old variant of 和[hé],1,1,10,1,4,除英语外，他还要学德语和法语。,"Besides English, he has to study German and French.",,,26817,0
98,和,龢,hé,old variant of 和[hé]/harmonious,1,1,10,1,4,除英语外，他还要学德语和法语。,"Besides English, he has to study German and French.",,,26815,0
99,本,本,běn,"root/stem/origin/source/this/the current/original/inherent/originally/classifier for books, periodicals, files etc",1,1,10,1,5,那本词典在我的书房里。,The dictionary is in my study.,,,4898,0
100,里,里,lǐ,"li, ancient measure of length, approx. 500 m/neighborhood/ancient administrative unit of 25 families/(Tw) borough, administrative unit between the township 鎮|镇[zhèn] and neighborhood 鄰|邻[lín] levels",1,1,10,1,6,她正在宿舍里忙碌。,She is just busy inside the dormitory.,,,7588,1
100,里,里,lǐ,Li (surname),1,1,10,1,6,她正在宿舍里忙碌。,She is just busy inside the dormitory.,,,7589,0
100,里,裡,lǐ,lining/interior/inside/internal/also written 裏|里[lǐ],1,1,10,1,6,她正在宿舍里忙碌。,She is just busy inside the dormitory.,,,7598,0
100,里,裏,lǐ,variant of 裡|里[lǐ],1,1,10,1,6,她正在宿舍里忙碌。,She is just busy inside the dormitory.,,,7596,0
101,前面,前面,qián miàn,ahead/in front/preceding/above/also pr. [qián mian],1,1,10,2,7,她把盘子放在他前面的桌子上。,She put the plate on the table in front of him.,,,288,0
102,后面,後面,hòu miàn,rear/back/behind/later/afterwards/also pr. [hòu mian],1,1,10,2,8,他把球打到球场后面去了。,He dropped the ball to the back of the court.,,,0,0
103,王方,王方,wáng fāng,"Wang Fang, a personal name",1,1,10,2,,,,,1,,
104,谢朋,謝朋,xiè péng,"Xie Peng, a personal name",1,1,10,2,,,,,2,,
105,这儿,這兒,zhè r,here,1,1,10,3,9,最迟十二点来到这儿。,Come here at twelve o'clock at the latest.,,,98,0
106,没有,沒有,méi yǒu,haven't/hasn't/doesn't exist/to not have/to not be,1,1,10,3,10,你不努力学习，因而没有好分数。,"You don't study hard, thence no good mark.",,,10419,0
107,能,能,néng,can/to be able to/might possibly/ability/(physics) energy,1,1,10,3,11,他盼望能在英国深造。,He be look forward to have advanced study in England .,,,11880,1
107,能,能,néng,surname Neng,1,1,10,3,11,他盼望能在英国深造。,He be look forward to have advanced study in England .,,,11874,0
108,坐,坐,zuò,"to sit/to take a seat/to take (a bus, airplane etc)/to bear fruit/variant of 座[zuò]",1,1,10,3,12,他不得不坐起来喘气。,He had to sit up to catch his breath.,,,972,1
108,坐,坐,zuò,surname Zuo,1,1,10,3,12,他不得不坐起来喘气。,He had to sit up to catch his breath.,,,971,0
109,现在,現在,xiàn zài,now/at present/at the moment/modern/current/nowadays,1,1,11,1,1,现在你们要补学英语,You're to make-up study on English now.,,,4582,0
110,点,點,diǎn,point/dot/drop/speck/o'clock/point (in space or time)/to draw a dot/to check on a list/to choose/to order (food in a restaurant)/to touch briefly/to hint/to light/to ignite/to pour a liquid drop by drop/(old) one fifth of a two-hour watch 更[gēng]/dot stroke in Chinese characters/classifier for items,1,1,11,1,2,2 点整。,It's two o' clock sharp.,,,4792,0
111,分,分,fēn,to divide/to separate/to distribute/to allocate/to distinguish (good and bad)/part or subdivision/fraction/one tenth (of certain units)/unit of length equivalent to 0.33 cm/minute (unit of time)/minute (angular measurement unit)/a point (in sports or games)/0.01 yuan (unit of money),1,1,11,1,3,时间是下午6 点50 分。,The time was 6:50 p.m.,,,6477,0
112,中午,中午,zhōng wǔ,noon/midday/CL:個|个[gè],1,1,11,1,4,将近中午时我们把工作做完了。,We were through with the work towards noon.,,,104,0
113,吃饭,吃飯,chī fàn,to have a meal/to eat/to make a living,1,1,11,1,5,今天我们去哪里吃饭？,Where shall we eat today?,,,505,0
114,时候,時候,shí hou,time/length of time/moment/period,1,1,11,2,6,我很抱歉在这个时候打扰你。,I'm sorry to obtrude on you at such a time.,,,4398,0
115,回,回,huí,to circle/to go back/to turn around/to answer/to return/to revolve/Hui ethnic group (Chinese Muslims)/time/classifier for acts of a play/section or chapter (of a classic book),1,1,11,2,7,我会工作三年然后再回学校。,I will work for three years and then go back to school.,,,1309,0
115,回,迴,huí,to curve/to return/to revolve,1,1,11,2,7,我会工作三年然后再回学校。,I will work for three years and then go back to school.,,,1308,0
115,回,逥,huí,variant of 迴|回[huí],1,1,11,2,7,我会工作三年然后再回学校。,I will work for three years and then go back to school.,,,1306,0
116,我们,我們,wǒ men,we/us/ourselves/our,1,1,11,2,8,我们组织了一个学习小组。,We formed a study group.,,,20919,0
117,电影,電影,diàn yǐng,"movie/film/CL:部[bù],片[piàn],幕[mù],場|场[chǎng]",1,1,11,2,9,今晚要发行一部新电影。,A new movie is to be released tonight.,,,2535,0
118,住,住,zhù,"to live/to dwell/to stay/to reside/to stop/(suffix indicating firmness, steadiness, or coming to a halt)",1,1,11,3,10,我住上面的套间。,I live in the flat above.,,,1422,0
119,前,前,qián,front/forward/ahead/first/top (followed by a number)/future/ago/before/BC (e.g. 前293年)/former/formerly,1,1,11,3,11,飞机起飞前务必系好安全带。,Make sure you are firm1y strapped in before the plane takes off.,,,6709,0
120,北京,北京,běi jīng,"Beijing, capital of People's Republic of China/Peking/PRC government",1,1,11,3,,我国首都是北京。,The capital of our country is Beijing.,,1,3319,0
121,天气,天氣,tiān qì,weather,1,1,12,1,1,二月下半月天气越来越冷。,During the last weeks of February the severity of the weather increased.,,,934,0
122,怎么样,怎麼樣,zěn me yàng,how?/how about?/how was it?/how are things?,1,1,12,1,2,你工作情况怎么样？,How's your work going?,,,1303,0
123,太,太,tài,highest/greatest/too (much)/very/extremely,1,1,12,1,3,但他真的不太想学习。,but he didn't really want to study.,,,3842,0
124,热,熱,rè,to warm up/to heat up/hot (of weather)/heat/fervent,1,1,12,1,4,我不适合住在佛罗里达。那里太热了。,I wasn't cut out for living in Florida. It was too hot.,,,1772,0
125,冷,冷,lěng,cold,1,1,12,1,5,夏天不热，冬天不冷。,"It is neither hot in summer, nor cold in winter.",,,1211,1
125,冷,冷,lěng,surname Leng,1,1,12,1,5,夏天不热，冬天不冷。,"It is neither hot in summer, nor cold in winter.",,,1210,0
126,下雨,下雨,xià yǔ,to rain,1,1,12,2,6,今天下午很可能要下雨。,"It'll rain this afternoon, as like as not.",,,142,0
127,小姐,小姐,xiǎo jie,"young lady/miss/(slang) prostitute/CL:個|个[gè],位[wèi]",1,1,12,2,7,可以请谭小姐听电话吗？,"May I speak to Miss Tan, please?",,,131,0
128,来,來,lái,to come/to arrive/to come round/ever since/next,1,1,12,2,8,街头艺人也到这儿来卖唱。,Ballad-singers come and chant here.,,,11981,0
129,雨,雨,yǔ,"rain/CL:陣|阵[zhèn],場|场[cháng]",1,1,12,2,,云预示有雨。,The clouds threaten rain.,,,680,0
130,下,下,xià,"down/downwards/below/lower/later/next (week etc)/second (of two parts)/to decline/to go down/to arrive at (a decision, conclusion etc)/measure word to show the frequency of an action",1,1,12,2,,下大雪,a heavy fall of snow,,,7141,0
132,爱,愛,ài,to love/to be fond of/to like/affection/to be inclined (to do sth)/to tend to (happen),1,1,12,3,10,我爱读鲁迅的讽刺杂文。,I like Lu Xun's satirical essays.,,,9336,0
133,些,些,xiē,"classifier indicating a small amount or small number greater than 1: some, a few, several",1,1,12,3,11,想开些，到头来总会好的。,Cheer up. It'll all come right in the end.,,,1093,0
134,水果,水果,shuǐ guǒ,fruit/CL:個|个[gè],1,1,12,3,12,这是水果淡季。,It is an off season for fruit.,,,271,0
135,水,水,shuǐ,surname Shui,1,1,12,3,13,把手指伸进水里看有多热。,Put your finger in the water to see how hot it is.,,,2700,0
135,水,水,shuǐ,water/river/liquid/beverage/additional charges or income/(of clothes) classifier for number of washes,1,1,12,3,13,把手指伸进水里看有多热。,Put your finger in the water to see how hot it is.,,,2701,1
136,喂,喂,wèi,"hey/to feed (an animal, baby, invalid etc)",1,1,13,1,1,喂！有人吗？,Hello ! Is anybody there ?,,,99,0
136,喂,餵,wèi,to feed,1,1,13,1,1,喂！有人吗？,Hello ! Is anybody there ?,,,99,0
136,喂,餧,wèi,variant of 餵|喂[wèi],1,1,13,1,1,喂！有人吗？,Hello ! Is anybody there ?,,,99,0
138,学习,學習,xué xí,to learn/to study,1,1,13,1,3,这几个女孩擅长学习语言。,These girls are good at learning languages.,,,6084,0
139,大卫,大衛,dà wèi,"David (name)/Jacques-Louis David (1748-1825), French neoclassical painter",1,1,13,1,,我们给这婴儿取名大卫。,We' ll call the baby David.,,1,604,0
140,上午,上午,shàng wǔ,morning/CL:個|个[gè],1,1,13,2,4,今天上午有邮件吗？,Is there any mail this morning?,,,177,0
141,睡觉,睡覺,shuì jiào,to go to bed/to sleep,1,1,13,2,5,你睡觉说梦话吗？,Do you ever talk in your sleep?,,,376,0
142,电视,電視,diàn shì,"television/TV/CL:臺|台[tái],個|个[gè]",1,1,13,2,6,电视机还未能取代收音机。,Television has not yet replaced radio.,,,734,0
143,喜欢,喜歡,xǐ huan,to like/to be fond of,1,1,13,2,7,海龟喜欢曝于阳光中。,Turtles like to bask in the sun.,,,3879,0
145,打电话,打電話,dǎ diàn huà,to make a telephone call,1,1,13,3,9,我无法打电话，我们的电话坏了。,"I can't make a call, as our phone is out of order.",,,140,0
147,东西,東西,dōng xi,"thing/stuff/person/CL:個|个[gè],件[jiàn]",1,1,14,1,1,他不想吃什么东西。,He unexpectedly eats any thing.,,,2028,0
148,一点儿,一點兒,yī diǎn r,erhua variant of 一點|一点[yī diǎn],1,1,14,1,2,他一点儿也不糊涂。,He was not all confused.,,,12,0
149,苹果,蘋果,píng guǒ,"apple/CL:個|个[gè],顆|颗[kē]",1,1,14,1,3,请您给我一个苹果好吗？,"Will you give me an apple, please?",,,1119,0
150,看见,看見,kàn jiàn,to see/to catch sight of,1,1,14,2,4,前几天我在展览会上看见了她。,I saw her at the exhibition the other day.,,,1615,0
151,先生,先生,xiān sheng,Mister (Mr.),1,1,14,2,5,卡农先生经营皮货。,Mr. Canon trades in furs.,,,307,0
151,先生,先生,xiān sheng,teacher/husband/doctor (dialect)/CL:位[wèi],1,1,14,2,5,卡农先生经营皮货。,Mr. Canon trades in furs.,,,307,1
